,Brand,Price,Product,Reviews_Count,Hearts
0,ARMANI BEAUTY,38.0,Lip Maestro Liquid Lipstick,1000,171.7
1,CHARLOTTE TILBURY,34.0,Matte Revolution Lipstick,719,135.3
2,TATCHA,28.0,The Kissu Lip Mask,262,41.3
3,GIVENCHY,38.0,Le Rouge Lipstick,640,111.2
4,NARS,27.0,Velvet Matte Lipstick Pencil,5000,350.4
5,DIOR,34.0,Lip Glow Diormania,5,5.5
6,GUCCI,42.0,Rouge à Lèvres Mat Matte Lipstick,19,6.5
7,KVD VEGAN BEAUTY,20.0,Studded Kiss Crème Lipstick,4000,192.8
8,LA MER,75.0,The Lip Volumizer,33,7.6
9,CHARLOTTE TILBURY,34.0,Superstar Lips Lipstick,105,22.3
10,HUDA BEAUTY,20.0,Liquid Matte Lipstick,2000,353.8
11,TARTE,19.0,SEA Quench Lip Rescue Balm,1000,108.8
12,GUCCI,42.0,Rouge à Lèvres Satin Lipstick,189,14000.0
13,SEPHORA COLLECTION,9.0,#LIPSTORIES,2000,263000.0
14,HOURGLASS,49.0,N° 28 Lip Treatment Oil,355,25.4
15,MAKE UP FOR EVER,18.0,"Artist Color Pencil: Eye, Lip & Brow Pencil",267,63.4
16,SMASHBOX,24.0,Always On Matte Liquid Lipstick,2000,263.6
17,HOURGLASS,36.0,Confession™ Ultra Slim High Intensity Refillable Lipstick,752,74000.0
18,BOBBI BROWN,34.0,Extra Lip Tint,149,20.9
19,HUDA BEAUTY,25.0,Power Bullet Matte Lipstick - Throwback Collection,86,33.3
20,PAT MCGRATH LABS,25.0,Mini LUST: Gloss™ Trio,320,51.2
21,BOBBI BROWN,27.0,Crushed Oil-Infused Gloss,11,8000.0
22,HUDA BEAUTY,25.0,Demi Matte & Cream Lip Set,104,44000.0
23,GUERLAIN,33.0,Rouge G Customizable Lipstick,155,38.8
24,MILK MAKEUP,16.0,KUSH Lip Balm,737,48.5
25,TARTE,21.0,SEA Color Splash Lipstick,1000,164.4
26,KVD VEGAN BEAUTY,22.0,Everlasting Glimmer Veil Liquid Lipstick,955,74.2
27,ANASTASIA BEVERLY HILLS,18.0,Matte Lipstick,803,109.9
28,KVD VEGAN BEAUTY,11.0,Kitten Mini Everlasting Liquid Lipstick,41,6.6
29,KOSAS,27.0,Wet Lip Oil Gloss,42,15.3
30,ILIA,34.0,Multi-Stick,173,27.5
31,BAREMINERALS,20.0,GEN NUDE™ Liquid Lipstick,1000,112.3
32,PATRICK TA,22.0,Major Glow Lip Shine,164,26.8
33,TOO FACED,21.0,Melted Matte Liquified Matte Long Wear Lipstick,2000,273.4
34,BUXOM,18.0,Plumpline Lip Liner,290,47.3
35,TARTE,25.0,SEA Poolside Pout Lip Trio,3,2.4
36,PATRICK TA,26.0,Monochrome Moment - Precision Lip Crayon,58,13.8
37,ILIA,28.0,Tinted Lip Conditioner,168,27.7
38,DIOR,38.0,Dior Addict Lacquer Stick,184,46.5
39,BOBBI BROWN,27.0,Crushed Liquid Lipstick,735,41.8
40,CHARLOTTE TILBURY,35.0,Collagen Lip Bath Gloss,59,18.5
41,SEPHORA COLLECTION,14.0,Melting Lip Clicks,298,26.3
42,ILIA,32.0,Color Haze Multi-Use Pigment,72,18.9
43,SEPHORA COLLECTION,12.5,Rouge Shine Lipstick,2000,110.6
44,SEPHORA COLLECTION,34.0,Lilly Lashes x Sephora Collection - Lip Set,10,3.7
