,Brand,Price,Rating,Reviews
0,SEPHORA COLLECTION,$14.00,121.6K loves,2K reviews
1,TOO FACED,$34.00,163.6K loves,3K reviews
2,KVD VEGAN BEAUTY,$27.00,134.2K loves,4K reviews
3,LANCÔME,$41.00,34.4K loves,1K reviews
4,CLINIQUE,$29.50,94.8K loves,2K reviews
5,KOSAS,$42.00,36.9K loves,578 reviews
6,TARTE,$26.00,2.4K loves,1 review
7,MAKE UP FOR EVER,$43.00,135.3K loves,2K reviews
8,DR. BRANDT SKINCARE,$45.00,94.7K loves,3K reviews
9,NARS,$39.00,109.1K loves,2K reviews
10,SEPHORA COLLECTION,$22.00,67.1K loves,1K reviews
11,GIVENCHY,$58.00,1.2K loves,1 review
12,YVES SAINT LAURENT,$54.00,36.7K loves,629 reviews
13,SUPERGOOP!,$38.00,26.8K loves,315 reviews
14,TOO FACED,$33.00,97.4K loves,1K reviews
15,MAKE UP FOR EVER,$28.00,30.2K loves,699 reviews
16,BOBBI BROWN,$29.00,60.3K loves,1K reviews
17,SEPHORA COLLECTION,$14.00,24.1K loves,341 reviews
18,FENTY BEAUTY BY RIHANNA,"$54.00
($75.00 value)",182.5K loves,1K reviews
19,FIRST AID BEAUTY,$29.00,62.3K loves,1K reviews
20,NARS,$49.00,141.6K loves,4K reviews
21,CHARLOTTE TILBURY,$32.00,36.2K loves,243 reviews
22,KVD VEGAN BEAUTY,$49.50,178K loves,1K reviews
23,URBAN DECAY,$33.00,120K loves,3K reviews
24,CHARLOTTE TILBURY,$38.00,27.3K loves,151 reviews
25,SEPHORA FAVORITES,$39.00,2.6K loves,2 reviews
26,BECCA,$39.00,0 loves,5K reviews
27,ERBORIAN,$44.00,36.9K loves,595 reviews
28,BITE BEAUTY,$38.00,5K loves,374 reviews
29,IT COSMETICS,$35.00,33.1K loves,263 reviews
30,BOBBI BROWN,$47.00,62.6K loves,1K reviews
31,CLINIQUE,$28.50,34.1K loves,1K reviews
32,ANASTASIA BEVERLY HILLS,$25.00,98K loves,1K reviews
33,TARTE,$36.00,69.6K loves,2K reviews
34,DIOR,$36.00,6.7K loves,17 reviews
35,SMASHBOX,$42.00,80.2K loves,3K reviews
36,URBAN DECAY,$29.00,118.7K loves,1K reviews
37,FARSÁLI,$54.00,24.5K loves,274 reviews
38,MARC JACOBS BEAUTY,$56.00,125.8K loves,2K reviews
39,TOO FACED,$36.00,70.3K loves,456 reviews
40,IT COSMETICS,$34.00,37.1K loves,733 reviews
41,TARTE,$36.00,61.4K loves,1K reviews
42,RMS BEAUTY,$36.00,47.8K loves,484 reviews
43,IT COSMETICS,$15.50,39.4K loves,436 reviews
44,FARSÁLI,$54.00,140.2K loves,1K reviews
45,BAREMINERALS,$24.00,36.8K loves,880 reviews
46,HOURGLASS,$56.00,64.4K loves,3K reviews
47,SMASHBOX,$39.00,55.6K loves,2K reviews
48,LAURA MERCIER,$38.00,2.2K loves,375 reviews
49,FENTY BEAUTY BY RIHANNA,$54.00 $27.00,47.4K loves,245 reviews
50,URBAN DECAY,$29.00,13.2K loves,796 reviews
51,LAURA MERCIER,$48.00,70.6K loves,1K reviews
52,AMOREPACIFIC,$60.00,30.1K loves,1K reviews
53,YVES SAINT LAURENT,$35.00,19.5K loves,205 reviews
54,YVES SAINT LAURENT,$52.00,65.9K loves,2K reviews
55,ILIA,$54.00,26.4K loves,570 reviews
56,BOBBI BROWN,$50.00,42.9K loves,1K reviews
57,NATASHA DENONA,$45.00,4.5K loves,32 reviews
58,KVD VEGAN BEAUTY,$31.00,80.8K loves,2K reviews
59,CHARLOTTE TILBURY,$32.00,12.6K loves,62 reviews
